"1 _ 4",,,,,"1 _ 5",,,,,"1 _ 6",,,,,"1 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"0","10.101","0","0","0","0","10.5381","0","0","0","0","10.6891","0","0","0","0","10.59373","0","0","0"
"0.01","10.78447","0.00084375","0","0","0.01","11.18183","0.00085","0","0","0.01","12.04014","0.0017","0","0","0.01","11.87325","0.001675","0","0"
"0.02","11.52356","0.00168125","0","0","0.02","11.82556","0.00169375","0","0","0.02","13.42297","0.00335","0","0","0.02","13.22428","0.0033625","0","0"
"0.03","12.23087","0.0025","0.001","0","0.03","12.50108","0.002525","0","0","0.03","14.83758","0.00500625","0.001","0","0.03","14.6389","0.00504375","0.001","0"
"0.04","12.8746","0.0033125","0.001","0","0.04","13.23223","0.0033625","0","0","0.04","16.29194","0.0066875","0.002","0","0.04","16.12504","0.0067","0.002","0"
"0.05","13.53423","0.00413125","0.002","0","0.05","14.01901","0.00420625","0.001","0","0.05","17.79397","0.008381249","0.003","0","0.05","17.60324","0.008324999","0.003","0"
"0.06","14.28922","0.00496875","0.002","0.001","0.06","14.81374","0.00505625","0.001","0","0.06","19.3119","0.01006875","0.003","0","0.06","19.04964","0.01000625","0.004","0"
"0.07","15.10779","0.0058125","0.003","0.001","0.07","15.56079","0.00589375","0.002","0","0.07","20.79805","0.01170625","0.004","0","0.07","20.44837","0.01169375","0.005","0"
"0.08","15.90252","0.00665625","0.003","0.001","0.08","16.24425","0.0067125","0.002","0","0.08","22.20472","0.01335","0.005","0","0.08","21.78351","0.0133875","0.007","0"
"0.09","16.64162","0.0075","0.004","0.001","0.09","16.92772","0.007525","0.003","0","0.09","23.5637","0.0150375","0.006","0","0.09","23.06302","0.01504375","0.007","0"
"0.1","17.31714","0.0083375","0.004","0.001","0.1","17.65092","0.00834375","0.003","0","0.1","24.93064","0.0167375","0.007","0","0.1","24.27896","0.0166625","0.008","0"
"0.11","18.0165","0.00918125","0.005","0.001","0.11","18.4377","0.0091875","0.004","0.001","0.11","26.29757","0.018425","0.008","0","0.11","25.50284","0.0183375","0.009000001","0"
"0.12","18.7397","0.010025","0.005","0.001","0.12","19.23243","0.0100375","0.004","0.001","0.12","27.6645","0.0200625","0.009000001","0","0.12","26.7903","0.02003125","0.01","0"
"0.13","19.43906","0.01084375","0.006","0.001","0.13","19.97948","0.01086875","0.005","0.001","0.13","28.95196","0.0217","0.01","0","0.13","28.14134","0.02173125","0.011","0"
"0.14","20.10663","0.01165625","0.006","0.001","0.14","20.67884","0.01170625","0.005","0.001","0.14","30.152","0.02338125","0.01","0","0.14","29.55596","0.02338125","0.012","0"
"0.15","20.80599","0.01246875","0.007","0.001","0.15","21.31462","0.01255","0.006","0.001","0.15","31.3282","0.025075","0.011","0.001","0.15","30.97852","0.025","0.013","0"
"0.16","21.50536","0.01331875","0.008","0.001","0.16","21.94246","0.01339375","0.006","0.001","0.16","32.51235","0.026775","0.012","0.001","0.16","32.3534","0.02666875","0.014","0"
"0.17","22.13319","0.0141625","0.008","0.001","0.17","22.62592","0.01423125","0.007","0.001","0.17","33.71239","0.02840625","0.012","0.001","0.17","33.6806","0.02835625","0.015","0"
"0.18","22.72129","0.01499375","0.009000001","0.001","0.18","23.38886","0.01505","0.007","0.001","0.18","34.9919","0.03003125","0.013","0.001","0.18","34.96806","0.03005","0.016","0.001"
"0.19","23.37297","0.01583125","0.009000001","0.001","0.19","24.18359","0.0158625","0.008","0.001","0.19","36.35089","0.0317125","0.014","0.001","0.19","36.25552","0.0317","0.017","0.001"
"0.2","24.11207","0.01666875","0.01","0.001","0.2","24.96243","0.016675","0.008","0.001","0.2","37.77345","0.033425","0.014","0.001","0.2","37.54298","0.0333125","0.018","0.001"
"0.21","24.85116","0.0175125","0.01","0.001","0.21","25.68563","0.01751875","0.009000001","0.001","0.21","39.20396","0.03510625","0.015","0.001","0.21","38.8066","0.03498125","0.018","0.001"
"0.22","25.57437","0.01835","0.011","0.001","0.22","26.39294","0.0183625","0.009000001","0.001","0.22","40.66626","0.03674375","0.016","0.001","0.22","40.03048","0.03668125","0.019","0.001"
"0.23","26.26578","0.019175","0.011","0.001","0.23","27.08435","0.0192","0.01","0.001","0.23","42.18419","0.03839375","0.017","0.001","0.23","41.27026","0.0383875","0.02","0.001"
"0.24","26.9413","0.0199875","0.012","0.001","0.24","27.76782","0.0200375","0.01","0.001","0.24","43.77365","0.040075","0.018","0.001","0.24","42.5895","0.04004375","0.021","0.001"
"0.25","27.60092","0.0208125","0.012","0.001","0.25","28.46718","0.020875","0.011","0.001","0.25","45.37106","0.0417625","0.019","0.001","0.25","43.95644","0.04166875","0.022","0.001"
"0.26","28.2526","0.02165625","0.013","0.001","0.26","29.23807","0.02171875","0.011","0.001","0.26","46.98436","0.0434375","0.02","0.001","0.26","45.26774","0.04335","0.023","0.001"
"0.27","28.91223","0.0225","0.013","0.001","0.27","30.03279","0.02255625","0.012","0.001","0.27","48.56586","0.04506875","0.021","0.001","0.27","46.53136","0.0450375","0.024","0.001"
"0.28","29.61159","0.02333125","0.014","0.001","0.28","30.77984","0.023375","0.012","0.001","0.28","50.04406","0.04670625","0.022","0.001","0.28","47.83471","0.04671875","0.025","0.001"
"0.29","30.303","0.02416875","0.015","0.001","0.29","31.44741","0.02419375","0.012","0.001","0.29","51.41894","0.0483875","0.023","0.001","0.29","49.14602","0.048375","0.026","0.001"
"0.3","30.95468","0.025","0.015","0.001","0.3","32.13882","0.0250125","0.013","0.001","0.3","52.73024","0.0500875","0.024","0.002","0.3","50.40963","0.05","0.027","0.002"
"0.31","31.65404","0.02584375","0.016","0.001","0.31","32.90971","0.0258625","0.013","0.001","0.31","53.97002","0.051775","0.024","0.002","0.31","51.63352","0.05166875","0.028","0.002"
"0.32","32.44877","0.026675","0.016","0.001","0.32","33.70444","0.02670625","0.014","0.001","0.32","55.15416","0.0534125","0.025","0.002","0.32","52.88919","0.0533625","0.029","0.002"
"0.33","33.26734","0.02750625","0.017","0.002","0.33","34.42764","0.02754375","0.014","0.001","0.33","56.30652","0.05505","0.026","0.002","0.33","54.19254","0.05505","0.03","0.002"
"0.34","33.99054","0.02831875","0.017","0.002","0.34","35.10316","0.02838125","0.015","0.002","0.34","57.47477","0.0567375","0.027","0.002","0.34","55.51179","0.0567","0.03","0.002"
"0.35","34.59454","0.0291375","0.018","0.002","0.35","35.76279","0.02921875","0.015","0.002","0.35","58.61918","0.058425","0.027","0.002","0.35","56.83899","0.058325","0.031","0.002"
"0.36","35.15084","0.0299875","0.018","0.002","0.36","36.42241","0.03006875","0.016","0.002","0.36","59.7477","0.06010625","0.028","0.002","0.36","58.15029","0.06000625","0.032","0.002"
"0.37","35.76279","0.03083125","0.019","0.002","0.37","37.08998","0.0309","0.016","0.002","0.37","60.91595","0.06174375","0.028","0.002","0.37","59.48544","0.0617","0.033","0.002"
"0.38","36.42241","0.0316625","0.019","0.002","0.38","37.77345","0.031725","0.017","0.002","0.38","62.19546","0.06336875","0.029","0.002","0.38","60.78879","0.06339375","0.034","0.002"
"0.39","37.11383","0.0325","0.02","0.002","0.39","38.51255","0.0325375","0.017","0.002","0.39","63.57034","0.06504375","0.03","0.002","0.39","62.03651","0.06505625","0.035","0.002"
"0.4","37.78934","0.0333375","0.02","0.002","0.4","39.25959","0.03335625","0.018","0.002","0.4","65.01675","0.06674375","0.03","0.002","0.4","63.2445","0.06666875","0.036","0.002"
"0.41","38.4887","0.0341875","0.021","0.002","0.41","39.99074","0.0342","0.018","0.002","0.41","66.54263","0.06843125","0.031","0.002","0.41","64.4207","0.06833125","0.037","0.002"
"0.42","39.19601","0.035025","0.022","0.002","0.42","40.67421","0.03504375","0.019","0.002","0.42","68.17182","0.07006875","0.032","0.002","0.42","65.62868","0.070025","0.038","0.002"
"0.43","39.91922","0.03584375","0.022","0.002","0.43","41.34178","0.035875","0.019","0.002","0.43","69.8328","0.07170625","0.033","0.002","0.43","66.86846","0.071725","0.039","0.003"
"0.44","40.62653","0.03665625","0.023","0.002","0.44","42.04114","0.0367125","0.02","0.002","0.44","71.47789","0.0733875","0.034","0.003","0.44","68.15592","0.073375","0.04","0.003"
"0.45","41.32589","0.03746875","0.023","0.002","0.45","42.78819","0.03755","0.02","0.002","0.45","73.03556","0.07509375","0.035","0.003","0.45","69.48312","0.07499374","0.04","0.003"
"0.46","42.04114","0.0383125","0.024","0.002","0.46","43.53523","0.0383875","0.021","0.002","0.46","74.51376","0.0767875","0.036","0.003","0.46","70.84211","0.076675","0.041","0.003"
"0.47","42.74845","0.0391625","0.024","0.002","0.47","44.22665","0.03921875","0.021","0.002","0.47","75.93632","0.07841875","0.037","0.003","0.47","72.21699","0.07836875","0.042","0.003"
"0.48","43.4796","0.03999375","0.025","0.002","0.48","44.9419","0.04004375","0.022","0.002","0.48","77.3112","0.08005625","0.038","0.003","0.48","73.56802","0.08005625","0.043","0.003"
"0.49","44.22665","0.04083125","0.025","0.002","0.49","45.6651","0.04085625","0.022","0.002","0.49","78.61456","0.08174375","0.039","0.003","0.49","74.88728","0.0817125","0.044","0.003"
"0.5","44.9419","0.04168125","0.026","0.002","0.5","46.44394","0.04168125","0.023","0.002","0.5","79.83049","0.08343749","0.04","0.003","0.5","76.21447","0.0833375","0.045","0.003"
"0.51","45.62537","0.04251875","0.026","0.002","0.51","47.23867","0.042525","0.023","0.002","0.51","81.00668","0.0851125","0.041","0.003","0.51","77.56551","0.08500624","0.046","0.003"
"0.52","46.31678","0.04335625","0.027","0.002","0.52","48.00161","0.04336875","0.024","0.002","0.52","82.14315","0.08674375","0.041","0.003","0.52","78.91655","0.0867","0.047","0.003"
"0.53","47.00025","0.044175","0.027","0.002","0.53","48.68507","0.0442","0.024","0.002","0.53","83.21603","0.08839375","0.042","0.003","0.53","80.2358","0.08839375","0.048","0.003"
"0.54","47.63603","0.0449875","0.028","0.002","0.54","49.33675","0.04503125","0.024","0.003","0.54","84.3207","0.090075","0.043","0.003","0.54","81.53915","0.09004375","0.049","0.003"
"0.55","48.21618","0.04580625","0.028","0.002","0.55","49.98843","0.04586875","0.025","0.003","0.55","85.56843","0.0917625","0.043","0.003","0.55","82.80277","0.09166875","0.05","0.003"
"0.56","48.82018","0.04665","0.029","0.002","0.56","50.67189","0.0467125","0.025","0.003","0.56","86.99099","0.09344375","0.044","0.003","0.56","84.06639","0.09335","0.05","0.003"
"0.57","49.4957","0.04749375","0.029","0.002","0.57","51.3951","0.04754375","0.026","0.003","0.57","88.53277","0.095075","0.045","0.003","0.57","85.37769","0.0950375","0.051","0.003"
"0.58","50.20301","0.04833125","0.03","0.002","0.58","52.1342","0.04836875","0.026","0.003","0.58","90.07454","0.09670625","0.045","0.003","0.58","86.71284","0.09672499","0.052","0.004"
"0.59","50.92621","0.04916875","0.03","0.002","0.59","52.8415","0.04918125","0.027","0.003","0.59","91.55273","0.09838749","0.046","0.004","0.59","88.01619","0.09838125","0.053","0.004"
"0.6","51.64941","0.05000625","0.031","0.002","0.6","53.52497","0.05","0.027","0.003","0.6","92.99914","0.1000937","0.047","0.004","0.6","89.23212","0.09999999","0.053","0.004"
"0.61","52.30904","0.05085","0.031","0.003","0.61","54.14486","0.05085","0.027","0.003","0.61","94.46144","0.1017812","0.048","0.004","0.61","90.35269","0.1016687","0.054","0.004"
"0.62","52.92892","0.0516875","0.032","0.003","0.62","54.73296","0.05169375","0.027","0.003","0.62","95.94759","0.1034187","0.049","0.004","0.62","91.4971","0.1033687","0.055","0.004"
"0.63","53.51702","0.0525","0.032","0.003","0.63","55.40848","0.05253125","0.028","0.003","0.63","97.44167","0.1050562","0.05","0.004","0.63","92.72099","0.1050562","0.056","0.004"
"0.64","54.12102","0.0533125","0.033","0.003","0.64","56.15552","0.053375","0.028","0.003","0.64","98.83245","0.1067375","0.051","0.004","0.64","94.00845","0.1067125","0.057","0.004"
"0.65","54.73296","0.05413125","0.034","0.003","0.65","56.95025","0.05421875","0.029","0.003","0.65","100.104","0.1084312","0.051","0.004","0.65","95.33564","0.1083312","0.058","0.004"
"0.66","55.40848","0.05498125","0.034","0.003","0.66","57.72114","0.0550625","0.029","0.003","0.66","101.312","0.1101187","0.052","0.004","0.66","96.6231","0.11","0.059","0.004"
"0.67","56.15552","0.055825","0.035","0.003","0.67","58.44434","0.0559","0.03","0.003","0.67","102.5279","0.11175","0.053","0.004","0.67","97.86288","0.1116875","0.06","0.004"
"0.68","56.92641","0.0566625","0.035","0.003","0.68","59.15165","0.0567125","0.03","0.003","0.68","103.8392","0.1133812","0.053","0.004","0.68","99.1106","0.1133937","0.061","0.004"
"0.69","57.6973","0.05750625","0.036","0.003","0.69","59.83512","0.057525","0.031","0.003","0.69","105.1744","0.1150562","0.054","0.004","0.69","100.406","0.11505","0.062","0.004"
"0.7","58.44434","0.05834375","0.036","0.003","0.7","60.58216","0.0583375","0.031","0.003","0.7","106.5413","0.1167625","0.055","0.004","0.7","101.765","0.1166625","0.063","0.004"
"0.71","59.12781","0.05919375","0.037","0.003","0.71","61.361","0.05918125","0.032","0.003","0.71","107.9082","0.11845","0.056","0.004","0.71","103.116","0.1183312","0.064","0.004"
"0.72","59.70001","0.06003125","0.037","0.003","0.72","62.12394","0.06003125","0.032","0.003","0.72","109.3388","0.1200812","0.057","0.004","0.72","104.3955","0.120025","0.06500001","0.004"
"0.73","60.27222","0.06085","0.038","0.003","0.73","62.84714","0.06086875","0.032","0.003","0.73","110.7772","0.121725","0.058","0.005","0.73","105.6115","0.1217187","0.06500001","0.004"
"0.74","60.91595","0.0616625","0.038","0.003","0.74","63.53061","0.0617","0.033","0.004","0.74","112.1839","0.1234125","0.059","0.005","0.74","106.8672","0.1233687","0.066","0.004"
"0.75","61.66299","0.0624875","0.039","0.003","0.75","64.20612","0.0625375","0.033","0.004","0.75","113.5429","0.1251062","0.059","0.005","0.75","108.1864","0.125","0.067","0.005"
"0.76","62.45772","0.0633375","0.039","0.003","0.76","64.94522","0.06338125","0.034","0.004","0.76","114.878","0.1267875","0.06","0.005","0.76","109.5851","0.1266813","0.068","0.005"
"0.77","63.25245","0.06418125","0.04","0.003","0.77","65.71611","0.06421875","0.034","0.004","0.77","116.2291","0.1284125","0.061","0.005","0.77","111.0156","0.1283688","0.06900001","0.005"
"0.78","63.99155","0.0650125","0.04","0.003","0.78","66.4711","0.0650375","0.035","0.004","0.78","117.588","0.1300562","0.062","0.005","0.78","112.3985","0.13005","0.07","0.005"
"0.79","64.64323","0.06584375","0.041","0.003","0.79","67.13072","0.06584375","0.035","0.004","0.79","118.9311","0.1317312","0.063","0.005","0.79","113.6144","0.1317","0.071","0.005"
"0.8","65.23927","0.066675","0.041","0.003","0.8","67.73472","0.0666625","0.036","0.004","0.8","120.2742","0.133425","0.064","0.005","0.8","114.6873","0.1333188","0.072","0.005"
"0.81","65.81148","0.06751875","0.042","0.003","0.81","68.40229","0.0675125","0.036","0.004","0.81","121.665","0.1351063","0.06500001","0.005","0.81","115.6727","0.1349875","0.07300001","0.005"
"0.82","66.32805","0.06834999","0.042","0.003","0.82","69.14139","0.0683625","0.037","0.004","0.82","123.0796","0.1367437","0.06500001","0.005","0.82","116.6662","0.1366875","0.074","0.005"
"0.83","66.9082","0.069175","0.043","0.003","0.83","69.9679","0.06919375","0.037","0.004","0.83","124.4783","0.1383875","0.066","0.005","0.83","117.7708","0.1383875","0.075","0.005"
"0.84","67.61551","0.0699875","0.043","0.003","0.84","70.78648","0.07003125","0.038","0.004","0.84","125.8532","0.1400812","0.067","0.005","0.84","119.0503","0.14005","0.075","0.005"
"0.85","68.43408","0.07080625","0.044","0.003","0.85","71.54147","0.070875","0.038","0.004","0.85","127.2519","0.1417688","0.068","0.005","0.85","120.4729","0.141675","0.07600001","0.005"
"0.86","69.24471","0.07165625","0.044","0.003","0.86","72.21699","0.0717125","0.039","0.004","0.86","128.6824","0.1434563","0.06900001","0.005","0.86","121.9511","0.1433562","0.07700001","0.005"
"0.87","69.95201","0.0725","0.045","0.003","0.87","72.89251","0.07255","0.039","0.004","0.87","130.105","0.1450875","0.07","0.006","0.87","123.3578","0.14505","0.078","0.005"
"0.88","70.55601","0.07333125","0.045","0.003","0.88","73.59187","0.07336875","0.04","0.004","0.88","131.464","0.1467125","0.071","0.006","0.88","124.6134","0.14675","0.079","0.005"
"0.89","71.08053","0.07416875","0.046","0.003","0.89","74.31507","0.07418749","0.04","0.004","0.89","132.7515","0.1483875","0.072","0.006","0.89","125.8135","0.1484063","0.08000001","0.005"
"0.9","71.63683","0.07500625","0.046","0.003","0.9","75.03828","0.0750125","0.041","0.004","0.9","134.0548","0.1500937","0.072","0.006","0.9","127.093","0.1500188","0.081","0.006"
"0.91","72.32825","0.07585","0.047","0.004","0.91","75.75353","0.0758625","0.041","0.004","0.91","135.3502","0.1517875","0.07300001","0.006","0.91","128.4679","0.1516812","0.082","0.006"
"0.92","73.14682","0.0766875","0.048","0.004","0.92","76.44495","0.07670625","0.042","0.004","0.92","136.6536","0.1534187","0.074","0.006","0.92","129.8507","0.1533687","0.083","0.006"
"0.93","73.97334","0.07750625","0.048","0.004","0.93","77.09662","0.0775375","0.042","0.004","0.93","137.9649","0.1550563","0.075","0.006","0.93","131.162","0.1550687","0.083","0.006"
"0.94","74.74422","0.078325","0.049","0.004","0.94","77.73241","0.07836875","0.042","0.004","0.94","139.2921","0.1567312","0.07600001","0.006","0.94","132.4495","0.156725","0.085","0.006"
"0.95","75.41975","0.0791375","0.049","0.004","0.95","78.4556","0.07920625","0.043","0.004","0.95","140.6749","0.1584312","0.07700001","0.006","0.95","133.6495","0.15835","0.086","0.006"
"0.96","76.04758","0.0799875","0.049","0.004","0.96","79.23444","0.08005","0.043","0.005","0.96","142.0975","0.1601125","0.07700001","0.006","0.96","134.7939","0.160025","0.087","0.006"
"0.97","76.67542","0.0808375","0.05","0.004","0.97","80.00533","0.0808875","0.044","0.005","0.97","143.4962","0.16175","0.078","0.006","0.97","135.9304","0.1617187","0.08800001","0.006"
"0.98","77.3271","0.08166875","0.05","0.004","0.98","80.70469","0.0817125","0.044","0.005","0.98","144.8393","0.1633938","0.079","0.006","0.98","137.1066","0.1634187","0.089","0.006"
"0.99","77.99467","0.08250625","0.051","0.004","0.99","81.38021","0.082525","0.045","0.005","0.99","146.1585","0.165075","0.08000001","0.006","0.99","138.3543","0.165075","0.089","0.006"
"1","78.68608","0.08335","0.052","0.004","1","82.10341","0.08334374","0.045","0.005","1","147.4937","0.1667625","0.081","0.007","1","139.6418","0.1666937","0.09","0.006"
"1.01","79.3616","0.08419999","0.052","0.004","1.01","82.85046","0.0841875","0.046","0.005","1.01","148.8686","0.1684375","0.082","0.007","1.01","140.9292","0.1683562","0.09100001","0.006"
"1.02","79.95764","0.08503125","0.053","0.004","1.02","83.56571","0.0850375","0.046","0.005","1.02","150.2752","0.170075","0.083","0.007","1.02","142.2326","0.1700438","0.09200001","0.006"
"1.03","80.51395","0.08585","0.053","0.004","1.03","84.24918","0.08586875","0.047","0.005","1.03","151.7057","0.1717187","0.08400001","0.007","1.03","143.528","0.1717312","0.093","0.006"
"1.04","81.11795","0.08665625","0.054","0.004","1.04","84.98827","0.08670625","0.047","0.005","1.04","153.1124","0.1734","0.08400001","0.007","1.04","144.8552","0.1733812","0.094","0.006"
"1.05","81.72989","0.08747499","0.054","0.004","1.05","85.73532","0.08754375","0.048","0.005","1.05","154.4158","0.1750937","0.085","0.007","1.05","146.1426","0.1750062","0.09500001","0.006"
"1.06","82.35773","0.08831875","0.055","0.004","1.06","86.45853","0.08839375","0.048","0.005","1.06","155.6317","0.1767813","0.086","0.007","1.06","147.3824","0.1766813","0.096","0.006"
"1.07","83.01735","0.0891625","0.055","0.004","1.07","87.13404","0.08922499","0.048","0.005","1.07","156.8715","0.1784125","0.087","0.007","1.07","148.5984","0.1783687","0.097","0.006"
"1.08","83.78029","0.09","0.056","0.004","1.08","87.82545","0.09004375","0.049","0.005","1.08","158.1828","0.18005","0.08800001","0.007","1.08","149.8302","0.1800562","0.097","0.006"
"1.09","84.58296","0.09084374","0.056","0.004","1.09","88.55661","0.0908625","0.049","0.005","1.09","159.5656","0.1817312","0.089","0.007","1.09","151.1176","0.1817062","0.098","0.006"
"1.1","85.31412","0.09168125","0.057","0.004","1.1","89.32749","0.09168125","0.05","0.005","1.1","160.9643","0.1834375","0.09","0.007","1.1","152.4528","0.1833313","0.09900001","0.006"
"1.11","85.98963","0.092525","0.057","0.004","1.11","90.09838","0.09253125","0.05","0.005","1.11","162.3154","0.1851187","0.09","0.007","1.11","153.7482","0.185","0.1","0.006"
"1.12","86.6572","0.09335624","0.058","0.004","1.12","90.82159","0.093375","0.051","0.005","1.12","163.6187","0.18675","0.09100001","0.007","1.12","154.9164","0.1866937","0.101","0.006"
"1.13","87.34068","0.09418125","0.058","0.004","1.13","91.52094","0.09420625","0.051","0.005","1.13","164.8903","0.1883875","0.09200001","0.007","1.13","156.0291","0.1884","0.102","0.006"
"1.14","88.01619","0.0949875","0.059","0.004","1.14","92.24415","0.09504375","0.052","0.005","1.14","166.2254","0.1900688","0.093","0.007","1.14","157.1973","0.1900562","0.103","0.007"
"1.15","88.71555","0.09580625","0.059","0.004","1.15","92.9912","0.0958875","0.052","0.005","1.15","167.6242","0.1917562","0.094","0.007","1.15","158.4689","0.191675","0.104","0.007"
"1.16","89.42286","0.09665625","0.06","0.004","1.16","93.69055","0.09673125","0.053","0.005","1.16","169.0229","0.1934375","0.09500001","0.008","1.16","159.7961","0.1933437","0.105","0.007"
"1.17","90.09838","0.09750625","0.06","0.004","1.17","94.31044","0.0975625","0.053","0.005","1.17","170.3342","0.1950687","0.096","0.008","1.17","161.0994","0.1950312","0.106","0.007"
"1.18","90.7739","0.09833749","0.061","0.004","1.18","94.90649","0.09838125","0.054","0.005","1.18","171.6137","0.1967","0.097","0.008","1.18","162.3154","0.196725","0.107","0.007"
"1.19","91.48121","0.099175","0.061","0.004","1.19","95.55022","0.0991875","0.054","0.005","1.19","172.9171","0.1983812","0.097","0.008","1.19","163.4677","0.1983812","0.108","0.007"
"1.2","92.18057","0.1000125","0.062","0.004","1.2","96.29726","0.1000062","0.055","0.005","1.2","174.2681","0.2000875","0.098","0.008","1.2","164.636","0.2","0.108","0.007"
"1.21","92.83224","0.1008562","0.062","0.004","1.21","97.08405","0.10085","0.055","0.005","1.21","175.635","0.201775","0.09900001","0.008","1.21","165.8757","0.2016625","0.109","0.007"
"1.22","93.43624","0.1016875","0.063","0.004","1.22","97.81519","0.1016937","0.056","0.006","1.22","176.9702","0.2034125","0.1","0.008","1.22","167.2268","0.2033563","0.11","0.007"
"1.23","94.08792","0.1025063","0.063","0.004","1.23","98.50661","0.1025312","0.056","0.006","1.23","178.2894","0.2050563","0.101","0.008","1.23","168.5778","0.2050563","0.111","0.007"
"1.24","94.77934","0.103325","0.064","0.004","1.24","99.18213","0.103375","0.057","0.006","1.24","179.6166","0.2067437","0.102","0.008","1.24","169.8414","0.2067062","0.112","0.007"
"1.25","95.44691","0.10415","0.064","0.005","1.25","99.86559","0.1042125","0.057","0.006","1.25","180.9518","0.208425","0.103","0.008","1.25","171.0335","0.2083375","0.113","0.007"
"1.26","96.035","0.1049937","0.06500001","0.005","1.26","100.6206","0.1050562","0.057","0.006","1.26","182.271","0.2101062","0.103","0.008","1.26","172.1938","0.2100063","0.114","0.007"
"1.27","96.57542","0.1058375","0.06500001","0.005","1.27","101.4233","0.1059","0.058","0.006","1.27","183.6061","0.2117375","0.104","0.008","1.27","173.3224","0.2117","0.115","0.007"
"1.28","97.14762","0.1066687","0.066","0.005","1.28","102.2021","0.1067125","0.058","0.006","1.28","184.981","0.2133812","0.105","0.008","1.28","174.4986","0.2133875","0.116","0.007"
"1.29","97.75957","0.1075062","0.067","0.005","1.29","102.9094","0.107525","0.059","0.006","1.29","186.3639","0.2150625","0.106","0.008","1.29","175.7542","0.2150437","0.116","0.007"
"1.3","98.39535","0.1083438","0.067","0.005","1.3","103.5611","0.1083438","0.059","0.006","1.3","187.7467","0.2167562","0.107","0.008","1.3","177.0258","0.2166625","0.117","0.007"
"1.31","99.05497","0.1091875","0.068","0.005","1.31","104.2366","0.1091937","0.06","0.006","1.31","189.05","0.2184312","0.108","0.008","1.31","178.2894","0.2183375","0.118","0.007"
"1.32","99.6987","0.110025","0.068","0.005","1.32","104.936","0.1100375","0.06","0.006","1.32","190.2978","0.2200625","0.109","0.008","1.32","179.5451","0.220025","0.119","0.007"
"1.33","100.3106","0.11085","0.06900001","0.005","1.33","105.6592","0.1108687","0.061","0.006","1.33","191.5534","0.2217062","0.11","0.009000001","1.33","180.7769","0.2217187","0.12","0.007"
"1.34","100.9385","0.1116625","0.06900001","0.005","1.34","106.3585","0.1117062","0.061","0.006","1.34","192.8409","0.2233937","0.11","0.009000001","1.34","181.9531","0.2233687","0.121","0.007"
"1.35","101.6219","0.1124875","0.06900001","0.005","1.35","107.0658","0.1125375","0.062","0.006","1.35","194.1522","0.2250937","0.111","0.009000001","1.35","183.1452","0.225","0.122","0.007"
"1.36","102.3372","0.1133313","0.07","0.005","1.36","107.7414","0.1133875","0.062","0.006","1.36","195.5112","0.2267812","0.112","0.009000001","1.36","184.4088","0.2266812","0.123","0.007"
"1.37","103.0445","0.1141813","0.07","0.005","1.37","108.4169","0.1142187","0.063","0.006","1.37","196.9178","0.2284187","0.113","0.009000001","1.37","185.736","0.2283687","0.124","0.008"
"1.38","103.72","0.1150125","0.071","0.005","1.38","109.1083","0.1150437","0.063","0.006","1.38","198.3325","0.2300437","0.114","0.009000001","1.38","187.0712","0.2300687","0.125","0.008"
"1.39","104.3717","0.1158438","0.071","0.005","1.39","109.8315","0.1158562","0.064","0.006","1.39","199.6756","0.231725","0.115","0.009000001","1.39","188.3825","0.2317187","0.125","0.008"
"1.4","105.0234","0.116675","0.072","0.005","1.4","110.5547","0.1166875","0.064","0.006","1.4","200.9948","0.233425","0.115","0.009000001","1.4","189.654","0.2333312","0.126","0.008"
"1.41","105.7466","0.1175187","0.072","0.005","1.41","111.2938","0.1175312","0.06500001","0.006","1.41","202.3061","0.2351125","0.116","0.009000001","1.41","190.8779","0.2349937","0.127","0.008"
"1.42","106.5254","0.1183563","0.07300001","0.005","1.42","112.0249","0.1183687","0.06500001","0.006","1.42","203.6413","0.2367437","0.117","0.009000001","1.42","192.1097","0.2366875","0.128","0.008"
"1.43","107.2248","0.1191812","0.07300001","0.005","1.43","112.7481","0.1192","0.06500001","0.006","1.43","204.9764","0.2383812","0.118","0.009000001","1.43","193.3575","0.2383937","0.129","0.008"
"1.44","107.789","0.1199937","0.074","0.005","1.44","113.376","0.1200375","0.066","0.006","1.44","206.3036","0.2400625","0.119","0.009000001","1.44","194.5734","0.24005","0.13","0.008"
"1.45","108.3056","0.1208062","0.075","0.005","1.45","113.98","0.120875","0.066","0.007","1.45","207.6308","0.2417625","0.12","0.009000001","1.45","195.7258","0.2416687","0.131","0.008"
"1.46","108.8937","0.1216562","0.075","0.005","1.46","114.6396","0.1217125","0.067","0.007","1.46","208.95","0.2434437","0.121","0.009000001","1.46","196.8463","0.2433437","0.132","0.008"
"1.47","109.5533","0.1225","0.07600001","0.005","1.47","115.4105","0.12255","0.067","0.007","1.47","210.2772","0.2450812","0.122","0.009000001","1.47","198.0066","0.245025","0.133","0.008"
"1.48","110.2765","0.1233375","0.07600001","0.005","1.48","116.1575","0.1233812","0.068","0.007","1.48","211.5885","0.2467187","0.123","0.009000001","1.48","199.2305","0.2467187","0.134","0.008"
