"1 _ 1",,,,,"1 _ 2",,,,,"1 _ 3",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"0","10.21226","0","0","0","0","10.21226","0","0","0","0","10.101","0","0","0"
"0.01","10.3871","0.00016875","0","-0.001","0.01","10.47452","0.00016875","0","0","0.01","10.25995","0.00016875","0","0"
"0.02","10.51426","0.00033125","0","-0.001","0.02","10.6891","0.0003375","0","0","0.02","10.44273","0.00033125","0","0"
"0.03","10.65731","0.0005","0","-0.001","0.03","10.86394","0.00050625","0","0","0.03","10.66526","0.0005","0","0"
"0.04","10.80036","0.0006625","0","0","0.04","10.9911","0.00066875","0.001","0","0.04","10.89573","0.00066875","0","0"
"0.05","10.91957","0.00083125","0","0","0.05","11.11031","0.0008375","0.001","0","0.05","11.10236","0.00083125","0","0"
"0.06","10.9911","0.0009937499","0","0","0.06","11.19773","0.00100625","0.001","0","0.06","11.23746","0.0009937499","0","0"
"0.07","11.11031","0.0011625","0","0","0.07","11.26925","0.00116875","0.001","0","0.07","11.31694","0.0011625","0.001","0"
"0.08","11.30899","0.00133125","0.001","0","0.08","11.36462","0.0013375","0.001","0","0.08","11.38846","0.00133125","0.001","0"
"0.09","11.54741","0.0015","0.001","0","0.09","11.48383","0.00150625","0.001","0","0.09","11.47588","0.00149375","0.001","0"
"0.1","11.73019","0.00166875","0.001","0","0.1","11.63483","0.001675","0.001","0","0.1","11.57125","0.0016625","0.001","0"
"0.11","11.8494","0.0018375","0.001","0","0.11","11.80172","0.0018375","0.001","0.001","0.11","11.70635","0.001825","0.001","0"
"0.12","11.98451","0.00200625","0.001","0","0.12","11.96861","0.00200625","0.001","0.001","0.12","11.8494","0.0019875","0.001","0"
"0.13","12.1514","0.00216875","0.001","0","0.13","12.11166","0.00216875","0.001","0.001","0.13","11.98451","0.00215625","0.001","0"
"0.14","12.33419","0.0023375","0.001","0","0.14","12.23087","0.0023375","0.001","0.001","0.14","12.08782","0.002325","0.001","0"
"0.15","12.46134","0.00250625","0.001","0","0.15","12.36598","0.00250625","0.001","0.001","0.15","12.17524","0.0024875","0.001","0"
"0.16","12.57261","0.00266875","0.001","0","0.16","12.54876","0.00266875","0.001","0.001","0.16","12.27061","0.00265625","0.001","0"
"0.17","12.71566","0.0028375","0.002","0","0.17","12.75539","0.00283125","0.002","0.001","0.17","12.38982","0.00281875","0.001","0"
"0.18","12.85076","0.00300625","0.002","0","0.18","12.93023","0.003","0.002","0.001","0.18","12.48519","0.0029875","0.002","0"
"0.19","12.94613","0.00316875","0.002","0","0.19","13.08918","0.00316875","0.002","0.001","0.19","12.57261","0.00315625","0.002","0"
"0.2","13.04944","0.0033375","0.002","0","0.2","13.22428","0.0033375","0.002","0.001","0.2","12.65208","0.003325","0.002","0"
"0.21","13.20044","0.0035","0.002","0","0.21","13.35144","0.0035","0.002","0.001","0.21","12.81102","0.00349375","0.002","0"
"0.22","13.3276","0.0036625","0.002","0","0.22","13.50244","0.00366875","0.002","0.001","0.22","13.00176","0.0036625","0.002","0"
"0.23","13.47065","0.00383125","0.002","0","0.23","13.6296","0.0038375","0.002","0.001","0.23","13.16071","0.00383125","0.002","0"
"0.24","13.66933","0.004","0.002","0","0.24","13.74881","0.00400625","0.002","0.001","0.24","13.25607","0.00399375","0.002","0"
"0.25","13.92365","0.0041625","0.002","0","0.25","13.8998","0.00416875","0.002","0.001","0.25","13.35144","0.0041625","0.002","0"
"0.26","14.13822","0.0043375","0.002","0","0.26","14.0508","0.0043375","0.002","0.001","0.26","13.50244","0.004325","0.002","0"
"0.27","14.34485","0.0045","0.002","0","0.27","14.20975","0.00450625","0.003","0.001","0.27","13.67728","0.00449375","0.002","0"
"0.28","14.51969","0.00466875","0.002","0","0.28","14.37664","0.004675","0.003","0.001","0.28","13.86007","0.0046625","0.002","0"
"0.29","14.67069","0.0048375","0.003","0","0.29","14.54353","0.00484375","0.003","0.001","0.29","14.02696","0.00483125","0.002","0"
"0.3","14.7899","0.005","0.003","0","0.3","14.71837","0.00500625","0.003","0.001","0.3","14.14617","0.005","0.002","0"
"0.31","14.93295","0.00516875","0.003","0","0.31","14.88527","0.005175","0.003","0.001","0.31","14.24154","0.0051625","0.002","0"
"0.32","15.13958","0.0053375","0.003","0","0.32","15.04421","0.00535","0.003","0.001","0.32","14.34485","0.00533125","0.003","0"
"0.33","15.35416","0.00550625","0.003","0","0.33","15.12368","0.0055125","0.003","0.001","0.33","14.46406","0.00549375","0.003","0"
"0.34","15.52105","0.00566875","0.003","0","0.34","15.21111","0.005675","0.003","0.001","0.34","14.56738","0.00565625","0.003","0"
"0.35","15.63231","0.0058375","0.003","0","0.35","15.30647","0.0058375","0.003","0.001","0.35","14.63095","0.005825","0.003","0"
"0.36","15.72768","0.00600625","0.003","0","0.36","15.44158","0.00600625","0.003","0.001","0.36","14.6548","0.00599375","0.003","0"
"0.37","15.83894","0.006175","0.003","0","0.37","15.60847","0.00616875","0.003","0.001","0.37","14.75016","0.00615625","0.003","0"
"0.38","15.98199","0.00634375","0.003","0","0.38","15.75947","0.0063375","0.003","0.001","0.38","14.91706","0.006325","0.003","0"
"0.39","16.15683","0.0065125","0.004","0","0.39","15.88662","0.00650625","0.004","0.001","0.39","15.09984","0.0065","0.003","0"
"0.4","16.33962","0.006675","0.004","0","0.4","15.9661","0.00666875","0.004","0.001","0.4","15.28263","0.0066625","0.003","0"
"0.41","16.49857","0.00684375","0.004","0","0.41","16.03762","0.0068375","0.004","0.001","0.41","15.52105","0.006825","0.003","0"
"0.42","16.68135","0.0070125","0.004","0","0.42","16.13299","0.007","0.004","0.001","0.42","15.8151","0.00699375","0.003","0"
"0.43","16.83235","0.007175","0.004","0","0.43","16.28399","0.00716875","0.004","0.001","0.43","16.03762","0.0071625","0.004","0"
"0.44","16.94361","0.00734375","0.004","0","0.44","16.48267","0.00733125","0.004","0.001","0.44","16.15683","0.007325","0.004","0"
"0.45","17.06282","0.00750625","0.004","0","0.45","16.71314","0.0075","0.004","0.001","0.45","16.19657","0.00749375","0.004","0"
"0.46","17.22972","0.007675","0.004","0","0.46","16.89593","0.0076625","0.004","0.001","0.46","16.22041","0.0076625","0.004","0"
"0.47","17.43635","0.007837499","0.004","0","0.47","17.01514","0.007831249","0.004","0.001","0.47","16.33962","0.007831249","0.004","0"
"0.48","17.65092","0.00800625","0.004","0","0.48","17.1264","0.007993749","0.004","0.001","0.48","16.52241","0.007999999","0.004","0"
"0.49","17.8496","0.00816875","0.004","0","0.49","17.20587","0.008162499","0.005","0.001","0.49","16.65751","0.008162499","0.004","0"
"0.5","18.0006","0.0083375","0.004","0","0.5","17.26945","0.008331249","0.005","0.001","0.5","16.70519","0.008331249","0.004","0"
"0.51","18.1516","0.0085","0.005","0","0.51","17.31714","0.0085","0.005","0.001","0.51","16.73698","0.00850625","0.004","0"
"0.52","18.29465","0.00866875","0.005","0","0.52","17.4125","0.00866875","0.005","0.001","0.52","16.80056","0.00866875","0.004","0"
"0.53","18.37412","0.00883125","0.005","0","0.53","17.61913","0.00883125","0.005","0.001","0.53","16.88004","0.00883125","0.004","0"
"0.54","18.39797","0.009","0.005","0","0.54","17.85755","0.009","0.005","0.001","0.54","16.98335","0.009","0.004","0"
"0.55","18.46949","0.0091625","0.005","0","0.55","18.08802","0.00916875","0.005","0.001","0.55","17.13435","0.0091625","0.005","0"
"0.56","18.62844","0.00933125","0.005","0","0.56","18.27876","0.0093375","0.005","0.001","0.56","17.34098","0.00933125","0.005","0"
"0.57","18.81917","0.0095","0.005","0","0.57","18.41386","0.00950625","0.005","0.001","0.57","17.53171","0.00949375","0.005","0"
"0.58","18.99401","0.00966875","0.005","0","0.58","18.52512","0.00966875","0.005","0.001","0.58","17.7145","0.0096625","0.005","0"
"0.59","19.08938","0.0098375","0.005","0","0.59","18.66817","0.0098375","0.005","0.001","0.59","17.89729","0.009825","0.005","0"
"0.6","19.14501","0.01","0.005","0","0.6","18.90659","0.01000625","0.005","0.001","0.6","18.08802","0.00999375","0.005","0"
"0.61","19.23243","0.010175","0.006","0","0.61","19.16885","0.01016875","0.006","0.001","0.61","18.23107","0.01015625","0.005","0"
"0.62","19.43906","0.0103375","0.006","0","0.62","19.39138","0.0103375","0.006","0.001","0.62","18.3026","0.010325","0.005","0"
"0.63","19.72516","0.01050625","0.006","0","0.63","19.51853","0.0105","0.006","0.001","0.63","18.39002","0.0104875","0.005","0"
"0.64","20.01127","0.01066875","0.006","0","0.64","19.60596","0.01066875","0.006","0.001","0.64","18.57281","0.01065625","0.005","0"
