"2 _ 1",,,,,"2 _ 2",,,,,"2 _ 3",,,,,"2 _ 4",,,,,"2 _ 5",,,,,"2 _ 6",,,,,"2 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"0","10.87189","0","0","0","0","10.6891","0","0","0","0","10.06126","0","0","0","0","10.5381","0","0","0","0","10.66526","0","0","0","0","10.37916","0","0","0","0","10.30763","0","0","0"
"0.01","12.11166","0.0016625","0","0","0.01","11.94477","0.001675","0","0","0.01","11.50767","0.00168125","0","0","0.01","11.22952","0.00083125","0","0","0.01","11.31694","0.00083125","0","0","0.01","11.05468","0.00085","0","0","0.01","10.77652","0.000825","0","0"
"0.02","13.30376","0.00328125","0","0","0.02","13.19249","0.0033","0","0","0.02","12.94613","0.00338125","0","0","0.02","11.90503","0.00165","0","0","0.02","11.90503","0.0016875","0","0","0.02","11.77788","0.00169375","0","0","0.02","11.33283","0.0016625","0","0"
"0.03","14.36075","0.00495","0.001","0","0.03","14.4879","0.00495625","0.001","0","0.03","14.40048","0.0050625","0.001","0","0.03","12.65208","0.0024625","0.001","0","0.03","12.54876","0.002525","0","0","0.03","12.52492","0.002525","0.001","0","0.03","12.04014","0.00249375","0","0"
"0.04","15.30647","0.00664375","0.001","0","0.04","15.78331","0.00664375","0.002","0","0.04","15.87868","0.0066875","0.002","0","0.04","13.41502","0.00329375","0.001","0","0.04","13.24813","0.00335625","0.001","0","0.04","13.23223","0.00334375","0.001","0","0.04","12.8746","0.00334375","0.001","0"
"0.05","16.22836","0.0083375","0.002","0","0.05","17.08666","0.008331249","0.002","0","0.05","17.34892","0.00834375","0.003","0","0.05","14.18591","0.00415","0.002","0","0.05","13.97928","0.0042","0.001","0","0.05","13.86801","0.00415625","0.002","0","0.05","13.7647","0.00416875","0.001","0.001"
"0.06","17.22972","0.01","0.002","0","0.06","18.4377","0.01000625","0.003","0","0.06","18.78738","0.01003125","0.004","0","0.06","14.98858","0.00498125","0.002","0","0.06","14.71043","0.0050375","0.001","0","0.06","14.51174","0.004975","0.002","0","0.06","14.61506","0.0049875","0.002","0.001"
"0.07","18.3026","0.01161875","0.003","0","0.07","19.83643","0.01163125","0.004","0.001","0.07","20.17021","0.011725","0.005","0","0.07","15.83099","0.00581875","0.003","0","0.07","15.42568","0.00588125","0.002","0","0.07","15.17137","0.00581875","0.003","0","0.07","15.40184","0.0058","0.003","0.001"
"0.08","19.37548","0.0132875","0.003","0","0.08","21.25104","0.01328125","0.005","0.001","0.08","21.5292","0.01339375","0.006","0","0.08","16.67341","0.00665625","0.004","0.001","0.08","16.10915","0.00670625","0.002","0","0.08","15.84689","0.0066625","0.004","0","0.08","16.12504","0.00663125","0.004","0.001"
"0.09","20.42452","0.01496875","0.004","0","0.09","22.6895","0.01496875","0.006","0.001","0.09","22.88818","0.01501875","0.007","0","0.09","17.43635","0.00749375","0.004","0.001","0.09","16.80056","0.007525","0.003","0","0.09","16.49857","0.0075","0.004","0","0.09","16.8244","0.00748125","0.004","0.001"
"0.1","21.52125","0.01666875","0.005","0","0.1","24.11207","0.01666875","0.007","0.001","0.1","24.31075","0.01666875","0.007","0","0.1","18.15955","0.0083375","0.005","0.001","0.1","17.49992","0.00834375","0.003","0","0.1","17.20587","0.0083375","0.005","0","0.1","17.49992","0.00831875","0.005","0.001"
"0.11","22.62592","0.01831875","0.005","0","0.11","25.50284","0.0183375","0.008","0.001","0.11","25.80484","0.01835625","0.008","0","0.11","18.90659","0.00916875","0.005","0.001","0.11","18.19134","0.00918125","0.004","0","0.11","17.96881","0.009175","0.005","0","0.11","18.15955","0.009156249","0.005","0.001"
"0.12","23.7147","0.0199375","0.006","0","0.12","26.86977","0.0199625","0.008","0.001","0.12","27.32277","0.02005625","0.009000001","0","0.12","19.66158","0.009981249","0.006","0.001","0.12","18.84302","0.010025","0.004","0","0.12","18.69996","0.01001875","0.006","0","0.12","18.77149","0.00999375","0.006","0.001"
"0.13","24.82732","0.02160625","0.007","0","0.13","28.18108","0.0216125","0.009000001","0.001","0.13","28.79302","0.02171875","0.01","0.001","0.13","20.353","0.0108","0.006","0.001","0.13","19.49469","0.0108625","0.005","0","0.13","19.37548","0.01085625","0.006","0","0.13","19.37548","0.0108375","0.007","0.001"
"0.14","25.98763","0.02330625","0.007","0","0.14","29.44469","0.0233","0.01","0.001","0.14","30.22353","0.0233375","0.011","0.001","0.14","20.96494","0.01163125","0.007","0.001","0.14","20.13048","0.0117","0.005","0","0.14","20.051","0.011675","0.007","0","0.14","19.98742","0.01168125","0.007","0.001"
"0.15","27.0923","0.0250125","0.008","0","0.15","30.72421","0.025","0.011","0.001","0.15","31.6302","0.0249875","0.012","0.001","0.15","21.57688","0.01248125","0.007","0.001","0.15","20.73447","0.0125375","0.006","0","0.15","20.73447","0.0124875","0.007","0","0.15","20.59142","0.0125125","0.007","0.001"
"0.16","28.10955","0.026675","0.009000001","0","0.16","32.07524","0.02668125","0.011","0.001","0.16","32.98919","0.026675","0.013","0.001","0.16","22.20472","0.013325","0.008","0.001","0.16","21.40999","0.013375","0.006","0","0.16","21.43383","0.0133125","0.008","0","0.16","21.19541","0.01333125","0.008","0.001"
"0.17","29.07117","0.0283","0.009000001","0","0.17","33.51371","0.0283","0.012","0.001","0.17","34.34022","0.02836875","0.014","0.001","0.17","22.83255","0.01415625","0.008","0.001","0.17","22.22061","0.01421875","0.006","0","0.17","22.08551","0.0141625","0.008","0","0.17","21.80735","0.01414375","0.008","0.001"
