PA46 TW200F6 _1,,,,,PA46 TW200F6 _2,,,,,PA46 TW200F6 _3,,,,,PA46 TW200F6 _4,,,,,PA46 TW200F6 _5,,,,,PA66 1300G _1,,,,,PA66 1300G _2,,,,,PA66 1300G _3,,,,,PA66 1300G _4,,,,,PA66 1300G _5,,,,
时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规
sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm
0,11.28515,0,0,0,0,13.54218,0,0,0,0,12.25471,0,0,0,0,10.67321,0,0,0,0,12.15935,0,0,0,0,11.79377,0,0,0,0,10.86394,0,0,0,0,11.72225,0,0,0,0,12.72361,0,0,0,0,12.35803,0,0,0
0.01,14.78195,0.0017,0,0,0.01,17.1423,0.00165625,0,0,0.01,15.03627,0.00165625,0,0,0.01,14.41638,0.0016875,0,0,0.01,14.97269,0.001625,0,0,0.01,15.529,0.00168125,0,0,0.01,14.43227,0.00164375,0,0,0.01,15.50515,0.001625,0,0,0.01,16.39525,0.00165625,0,0,0.01,15.70384,0.001625,0,0
0.02,18.19929,0.00336875,0,0,0.02,20.69473,0.0033375,0,0,0.02,18.00855,0.00335,0,0,0.02,18.12776,0.00339375,0,0,0.02,18.0165,0.003275,0,0,0.02,19.23243,0.00338125,0,0,0.02,17.98471,0.00333125,0,0,0.02,19.34369,0.003275,0,0,0.02,20.051,0.0033375,0,0,0.02,19.12912,0.003275,0,0
0.03,21.48946,0.00499375,0,0,0.03,24.19154,0.00503125,0,0,0.03,21.0921,0.0050375,0,0,0.03,21.77556,0.005075,0,0,0.03,21.31462,0.0049625,0.001,0,0.03,22.89613,0.00505,0.001,0,0.03,21.47357,0.005025,0,0,0.03,23.22197,0.0049625,0.001,0,0.03,23.64318,0.00503125,0.001,0,0.03,22.60208,0.00496875,0,0
0.04,24.66838,0.00665,0.001,0,0.04,27.69629,0.0067,0.001,0,0.04,24.13591,0.0067125,0.001,0,0.04,25.44721,0.00669375,0.001,0.0001,0.04,24.65248,0.00665625,0.001,0,0.04,26.52804,0.0066625,0.002,0,0.04,24.8909,0.00670625,0.001,0,0.04,27.08435,0.00665625,0.002,0,0.04,27.13203,0.0067,0.001,0,0.04,26.14657,0.0066625,0.001,0
0.05,27.80755,0.0083375,0.001,0,0.05,31.24873,0.008324999,0.002,0,0.05,27.06051,0.008331249,0.001,0,0.05,29.15859,0.00834375,0.002,0.0001,0.05,27.76782,0.00831875,0.002,0,0.05,30.19174,0.008324999,0.002,0,0.05,28.32413,0.00831875,0.001,0,0.05,30.83547,0.00831875,0.002,0,0.05,30.62089,0.008324999,0.002,0,0.05,29.67517,0.008331249,0.001,0
0.06,31.02621,0.010025,0.002,0,0.06,34.80911,0.0099875,0.002,0,0.06,29.92948,0.009981249,0.002,0,0.06,32.89382,0.01003125,0.003,0.0001,0.06,30.64474,0.00994375,0.002,0,0.06,33.85544,0.01001875,0.003,0,0.06,31.84477,0.00996875,0.002,0,0.06,34.49917,0.00994375,0.003,0,0.06,34.15744,0.009981249,0.002,0,0.06,33.21965,0.00995,0.002,0
0.07,34.34022,0.0117,0.002,0,0.07,38.3695,0.011675,0.003,0,0.07,32.79845,0.011675,0.002,0,0.07,36.58931,0.011725,0.003,0.0001,0.07,33.43423,0.0116,0.003,0,0.07,37.51914,0.01170625,0.003,0,0.07,35.48463,0.01165625,0.002,0,0.07,38.12313,0.01160625,0.004,0,0.07,37.73372,0.01166875,0.003,0,0.07,36.83567,0.01160625,0.002,0
0.08,37.66219,0.01331875,0.003,0.0001,0.08,41.91399,0.0133625,0.004,0,0.08,35.7151,0.0133875,0.003,0,0.08,40.22916,0.01339375,0.004,0.0001,0.08,36.33499,0.01329375,0.003,0.0001,0.08,41.17489,0.013375,0.004,0,0.08,39.16423,0.0133625,0.003,0,0.08,41.77888,0.01329375,0.004,0,0.08,41.30204,0.0133625,0.003,0,0.08,40.51526,0.01329375,0.003,0
0.09,40.95237,0.01496875,0.003,0.0001,0.09,45.42669,0.01503125,0.004,0,0.09,38.76686,0.0150625,0.003,0,0.09,43.85312,0.0150125,0.005,0.0001,0.09,39.3947,0.01498125,0.004,0.0001,0.09,44.81475,0.01499375,0.005,0,0.09,42.76435,0.0150375,0.003,0,0.09,45.46642,0.01498125,0.005,0,0.09,44.76706,0.0150375,0.004,0,0.09,44.13128,0.01499375,0.004,0
0.1,44.2028,0.0166625,0.004,0.0001,0.1,48.97118,0.0166625,0.004,0,0.1,41.96962,0.01666875,0.003,0,0.1,47.50093,0.016675,0.006,0.0001,0.1,42.54977,0.01665,0.004,0.0001,0.1,48.49434,0.01664375,0.005,0,0.1,46.28499,0.0166625,0.004,0,0.1,49.16986,0.01665,0.006,0,0.1,48.18439,0.01665625,0.005,0,0.1,47.65193,0.0166625,0.004,0.0001
0.11,47.4294,0.018375,0.005,0.0001,0.11,52.5713,0.0183125,0.005,0.0001,0.11,45.14853,0.01831875,0.004,0,0.11,51.17257,0.01836875,0.006,0.0001,0.11,45.6651,0.01826875,0.004,0.0001,0.11,52.24546,0.01834375,0.006,0,0.11,49.86922,0.01831875,0.005,0,0.11,52.92892,0.01826875,0.006,0,0.11,51.62557,0.01830625,0.005,0,0.11,51.17257,0.0182875,0.005,0.0001
0.12,50.61626,0.02005,0.005,0.0001,0.12,56.19526,0.02,0.006,0.0001,0.12,48.13671,0.0200125,0.004,0,0.12,54.77269,0.02005625,0.007,0.0001,0.12,48.65329,0.019925,0.005,0.0001,0.12,55.97274,0.02005625,0.006,0,0.12,53.60444,0.02000625,0.005,0,0.12,56.73568,0.019925,0.007,0,0.12,55.12238,0.02,0.006,0,0.12,54.74885,0.01995,0.005,0.0001
0.13,53.8667,0.0216625,0.006,0.0001,0.13,59.79538,0.0217125,0.006,0.0001,0.13,50.98184,0.02170625,0.005,0,0.13,58.30924,0.021725,0.008,0.0001,0.13,51.5461,0.02161875,0.005,0.0001,0.13,59.67617,0.021725,0.007,0,0.13,57.3953,0.0217,0.006,0,0.13,60.49474,0.02161875,0.007,0,0.13,58.67481,0.0217125,0.006,0,0.13,58.40461,0.02164375,0.005,0.0001
0.14,57.25225,0.02330625,0.006,0.0001,0.14,63.33987,0.0233875,0.007,0.0001,0.14,53.75544,0.02338125,0.005,0.0001,0.14,61.82194,0.02335,0.009000001,0.0001,0.14,54.47865,0.023325,0.006,0.0001,0.14,63.37166,0.02334375,0.007,0,0.14,61.14642,0.023375,0.007,0,0.14,64.20612,0.023325,0.008,0,0.14,62.20341,0.0233875,0.007,0,0.14,62.10009,0.0233375,0.005,0.0001
0.15,60.72521,0.025,0.007,0.0001,0.15,66.84462,0.025,0.008,0.0001,0.15,56.58467,0.025,0.006,0.0001,0.15,65.38232,0.025,0.009000001,0.0001,0.15,57.58603,0.025,0.006,0.0001,0.15,67.12278,0.02499375,0.008,0,0.15,64.81012,0.02499375,0.007,0,0.15,67.94135,0.025,0.009000001,0,0.15,65.66048,0.025,0.007,0,0.15,65.77174,0.0250125,0.006,0.0001
0.16,64.14255,0.0267,0.007,0.0001,0.16,70.4209,0.02664375,0.008,0.0001,0.16,59.53312,0.02665,0.006,0.0001,0.16,69.0937,0.02669375,0.01,0.0001,0.16,60.74905,0.02661875,0.006,0.0001,0.16,70.94542,0.02668125,0.009000001,0.0001,0.16,68.48177,0.02664375,0.008,0,0.16,71.77988,0.02661875,0.009000001,0,0.16,69.10165,0.02665,0.007,0,0.16,69.42749,0.026625,0.006,0.0001
0.17,67.48041,0.02836875,0.008,0.0001,0.17,74.09254,0.02833125,0.009000001,0.0001,0.17,62.56898,0.0283375,0.006,0.0001,0.17,72.83688,0.02840625,0.011,0.0001,0.17,63.78492,0.02826875,0.007,0.0001,0.17,74.77602,0.028375,0.009000001,0.0001,0.17,72.22494,0.02833125,0.009000001,0,0.17,75.72969,0.0282625,0.01,0,0.17,72.64614,0.0283375,0.007,0,0.17,73.13887,0.02826875,0.007,0.0001
0.18,70.77853,0.0299875,0.008,0.0001,0.18,77.7483,0.03003125,0.01,0.0001,0.18,65.55716,0.0300375,0.007,0.0001,0.18,76.50057,0.030075,0.011,0.0001,0.18,66.68568,0.02995,0.007,0.0001,0.18,78.56687,0.03005,0.01,0.0001,0.18,76.00784,0.03003125,0.009000001,0.0001,0.18,79.72717,0.02995,0.01,0,0.18,76.25421,0.03003125,0.008,0,0.18,76.92178,0.02995625,0.008,0.0001
0.19,74.0687,0.0316375,0.009000001,0.0001,0.19,81.36431,0.03170625,0.011,0.0001,0.19,68.41818,0.0317125,0.007,0.0001,0.19,80.12453,0.03169375,0.012,0.0001,0.19,69.53875,0.03164375,0.008,0.0001,0.19,82.33389,0.03166875,0.011,0.0001,0.19,79.77486,0.0317,0.01,0.0001,0.19,83.68492,0.03164375,0.011,0.0001,0.19,79.84638,0.03170625,0.008,0,0.19,80.71264,0.03166875,0.008,0.0001
0.2,77.34299,0.033325,0.01,0.0001,0.2,84.95649,0.033325,0.011,0.0001,0.2,71.26331,0.0333375,0.008,0.0001,0.2,83.75645,0.03334375,0.013,0.0001,0.2,72.43156,0.033325,0.008,0.0001,0.2,86.14858,0.0333125,0.011,0.0001,0.2,83.54187,0.03333125,0.01,0.0001,0.2,87.60294,0.033325,0.012,0.0001,0.2,83.39882,0.03331875,0.009000001,0,0.2,84.39223,0.03334375,0.009000001,0.0001
0.21,80.61727,0.035025,0.01,0.0001,0.21,88.5725,0.03496875,0.012,0.0001,0.21,74.2197,0.03499375,0.008,0.0001,0.21,87.43604,0.03503125,0.014,0.0001,0.21,75.43564,0.03494375,0.008,0.0001,0.21,89.98712,0.035,0.012,0.0001,0.21,87.33273,0.0349875,0.011,0.0001,0.21,91.52889,0.0349375,0.012,0.0001,0.21,86.99099,0.03496875,0.009000001,0,0.21,88.02414,0.0349625,0.009000001,0.0001
0.22,83.92334,0.0367,0.011,0.0001,0.22,92.22031,0.0366625,0.013,0.0001,0.22,77.3271,0.03668125,0.009000001,0.0001,0.22,91.10769,0.036725,0.014,0.0001,0.22,78.53508,0.0365875,0.009000001,0.0001,0.22,93.84155,0.03670625,0.012,0.0001,0.22,91.0759,0.03668125,0.012,0.0001,0.22,95.43101,0.0365875,0.013,0.0001,0.22,90.63879,0.03665625,0.009000001,0,0.22,91.74347,0.0366125,0.01,0.0001
0.23,87.30093,0.038325,0.011,0.0001,0.23,95.91579,0.0383625,0.014,0.0001,0.23,80.49806,0.03836875,0.009000001,0.0001,0.23,94.74754,0.0384,0.015,0.0002,0.23,81.63452,0.038275,0.009000001,0.0001,0.23,97.69598,0.03838125,0.013,0.0001,0.23,94.7237,0.038375,0.012,0.0001,0.23,99.29339,0.038275,0.014,0.0001,0.23,94.32634,0.03835625,0.01,0.0001,0.23,95.5979,0.0383,0.01,0.0001
0.24,90.67854,0.03998125,0.012,0.0001,0.24,99.61128,0.04003125,0.014,0.0001,0.24,83.58955,0.04005,0.009000001,0.0001,0.24,98.30793,0.04001875,0.016,0.0002,0.24,84.67039,0.03998125,0.01,0.0001,0.24,101.4868,0.04000625,0.014,0.0001,0.24,98.37151,0.04005,0.013,0.0001,0.24,103.0842,0.03998125,0.014,0.0001,0.24,98.05361,0.04003125,0.011,0.0001,0.24,99.47618,0.04,0.011,0.0001
0.25,94.00845,0.04166875,0.012,0.0001,0.25,103.2432,0.04165625,0.015,0.0001,0.25,86.64131,0.04166875,0.01,0.0001,0.25,101.8842,0.0416625,0.017,0.0002,0.25,87.5473,0.04165,0.01,0.0001,0.25,105.2539,0.0416625,0.014,0.0001,0.25,102.1624,0.0416625,0.013,0.0001,0.25,106.8592,0.04165625,0.015,0.0001,0.25,101.7888,0.04165625,0.011,0.0001,0.25,103.3306,0.041675,0.012,0.0001
0.26,97.33041,0.0433625,0.012,0.0001,0.26,106.8354,0.04331875,0.016,0.0001,0.26,89.68512,0.04331875,0.01,0.0001,0.26,105.4923,0.04335,0.017,0.0002,0.26,90.40038,0.043275,0.01,0.0001,0.26,109.0447,0.04335,0.015,0.0001,0.26,106.0645,0.04330625,0.014,0.0001,0.26,110.6819,0.04328125,0.015,0.0001,0.26,105.5241,0.04331875,0.012,0.0001,0.26,107.1612,0.04329375,0.012,0.0001
0.27,100.6921,0.04503125,0.012,0.0002,0.27,110.3958,0.04500625,0.017,0.0001,0.27,92.74483,0.04500625,0.011,0.0001,0.27,109.148,0.04505625,0.018,0.0002,0.27,93.37267,0.04493125,0.011,0.0001,0.27,112.8515,0.04504375,0.016,0.0001,0.27,109.9189,0.04499375,0.015,0.0001,0.27,114.5601,0.0449375,0.016,0.0001,0.27,109.2037,0.04500625,0.013,0.0001,0.27,110.9838,0.04494375,0.013,0.0001
0.28,104.0777,0.04665625,0.013,0.0002,0.28,113.9561,0.0467,0.017,0.0001,0.28,95.76479,0.04670625,0.011,0.0001,0.28,112.8356,0.04673125,0.019,0.0002,0.28,96.50389,0.04661875,0.011,0.0001,0.28,116.6662,0.04671875,0.016,0.0001,0.28,113.5906,0.04670625,0.015,0.0001,0.28,118.4464,0.046625,0.017,0.0001,0.28,112.7879,0.04669375,0.013,0.0001,0.28,114.7588,0.0466375,0.014,0.0001
0.29,107.4553,0.04830625,0.013,0.0002,0.29,117.5563,0.04836875,0.018,0.0002,0.29,98.77682,0.048375,0.012,0.0001,0.29,116.5549,0.04835625,0.02,0.0002,0.29,99.68281,0.04831875,0.011,0.0001,0.29,120.5285,0.0483375,0.017,0.0001,0.29,117.1668,0.04838125,0.016,0.0001,0.29,122.3008,0.0483125,0.017,0.0001,0.29,116.3721,0.04836875,0.014,0.0001,0.29,118.4702,0.04833125,0.014,0.0001
0.3,110.7772,0.0499875,0.014,0.0002,0.3,121.1087,0.0499875,0.019,0.0002,0.3,101.7729,0.05,0.012,0.0001,0.3,120.2504,0.0500125,0.02,0.0002,0.3,102.7743,0.0499875,0.012,0.0002,0.3,124.383,0.0499875,0.017,0.0001,0.3,120.8544,0.05,0.017,0.0001,0.3,126.1234,0.0499875,0.018,0.0001,0.3,120.0199,0.04999375,0.014,0.0001,0.3,122.1418,0.04999375,0.015,0.0001
0.31,114.0277,0.05169375,0.015,0.0002,0.31,124.5975,0.05164375,0.019,0.0002,0.31,104.8247,0.0516625,0.013,0.0001,0.31,123.9141,0.05169375,0.021,0.0002,0.31,105.7863,0.0516125,0.012,0.0002,0.31,128.1897,0.051675,0.018,0.0001,0.31,124.685,0.05165,0.017,0.0001,0.31,129.9699,0.05160625,0.019,0.0001,0.31,123.7234,0.0516375,0.015,0.0001,0.31,125.8294,0.0516125,0.015,0.0001
0.32,117.2145,0.05336875,0.015,0.0002,0.32,128.0785,0.05333125,0.02,0.0002,0.32,107.8765,0.05335,0.013,0.0002,0.32,127.546,0.05339375,0.022,0.0002,0.32,108.7904,0.0532625,0.013,0.0002,0.32,131.9249,0.053375,0.019,0.0001,0.32,128.5473,0.0533375,0.018,0.0001,0.32,133.7767,0.0532625,0.019,0.0001,0.32,127.3712,0.053325,0.015,0.0001,0.32,129.5328,0.053275,0.016,0.0001
0.33,120.4332,0.0549875,0.016,0.0002,0.33,131.615,0.05503125,0.021,0.0002,0.33,110.9123,0.05505625,0.013,0.0002,0.33,131.17,0.05506875,0.023,0.0002,0.33,111.8024,0.05495,0.014,0.0002,0.33,135.6125,0.05504375,0.019,0.0001,0.33,132.2905,0.0550375,0.019,0.0001,0.33,137.5357,0.05495,0.02,0.0001,0.33,130.9554,0.055025,0.016,0.0001,0.33,133.276,0.0549625,0.016,0.0002
0.34,123.771,0.05665,0.016,0.0002,0.34,135.1436,0.0567,0.021,0.0002,0.34,113.9323,0.05671875,0.014,0.0002,0.34,134.8019,0.0566875,0.023,0.0002,0.34,114.8065,0.05665,0.014,0.0002,0.34,139.3318,0.0566625,0.02,0.0001,0.34,135.8271,0.0567125,0.019,0.0001,0.34,141.2551,0.05665,0.021,0.0001,0.34,134.476,0.0567,0.016,0.0001,0.34,137.0033,0.05665625,0.017,0.0002
0.35,127.1884,0.0583375,0.017,0.0002,0.35,138.6563,0.058325,0.022,0.0002,0.35,116.9761,0.0583375,0.014,0.0002,0.35,138.4417,0.05833125,0.024,0.0002,0.35,117.7947,0.05831875,0.014,0.0002,0.35,143.1386,0.058325,0.021,0.0001,0.35,139.2841,0.05833125,0.02,0.0001,0.35,144.9664,0.05831875,0.021,0.0001,0.35,137.9967,0.058325,0.017,0.0001,0.35,140.7544,0.05833125,0.018,0.0002
0.36,130.5421,0.0600375,0.018,0.0002,0.36,142.2087,0.0599875,0.023,0.0002,0.36,120.0358,0.059975,0.015,0.0002,0.36,142.1134,0.060025,0.025,0.0002,0.36,120.759,0.05994375,0.015,0.0002,0.36,146.9612,0.060025,0.021,0.0001,0.36,142.8127,0.05998125,0.021,0.0001,0.36,148.6699,0.0599375,0.022,0.0001,0.36,141.573,0.0599875,0.017,0.0001,0.36,144.5214,0.05995625,0.018,0.0002
0.37,133.7926,0.06170625,0.018,0.0002,0.37,145.7691,0.06168125,0.024,0.0002,0.37,123.0796,0.061675,0.015,0.0002,0.37,145.7612,0.061725,0.026,0.0002,0.37,123.6916,0.0616125,0.015,0.0002,0.37,150.7203,0.06171875,0.022,0.0001,0.37,146.4605,0.061675,0.021,0.0001,0.37,152.4131,0.06160625,0.022,0.0001,0.37,145.1969,0.06168125,0.018,0.0001,0.37,148.2725,0.0616125,0.019,0.0002
0.38,137.0271,0.06331875,0.019,0.0002,0.38,149.2898,0.063375,0.024,0.0002,0.38,126.1234,0.0633875,0.016,0.0002,0.38,149.3613,0.06339375,0.026,0.0002,0.38,126.6559,0.0633,0.015,0.0002,0.38,154.384,0.0633875,0.022,0.0001,0.38,150.1401,0.06336875,0.022,0.0001,0.38,156.2039,0.0633,0.023,0.0001,0.38,148.7573,0.06338125,0.018,0.0001,0.38,151.9839,0.0633,0.019,0.0002
0.39,140.357,0.0649625,0.019,0.0002,0.39,152.7071,0.06504375,0.025,0.0002,0.39,129.1752,0.06505625,0.016,0.0002,0.39,152.9455,0.0650125,0.027,0.0002,0.39,129.6202,0.06499375,0.016,0.0002,0.39,158.0477,0.065,0.022,0.0001,0.39,153.7482,0.0650375,0.022,0.0002,0.39,159.9232,0.06499375,0.024,0.0001,0.39,152.1905,0.06504375,0.019,0.0001,0.39,155.6158,0.06500625,0.02,0.0002
0.4,143.7823,0.0666625,0.02,0.0002,0.4,156.1324,0.0666625,0.026,0.0002,0.4,132.2269,0.066675,0.017,0.0002,0.4,156.4821,0.06668125,0.028,0.0002,0.4,132.6084,0.06666875,0.016,0.0002,0.4,161.767,0.06665,0.023,0.0001,0.4,157.2132,0.06665625,0.023,0.0002,0.4,163.5472,0.0666625,0.024,0.0001,0.4,155.5761,0.06665625,0.02,0.0001,0.4,159.1921,0.06668125,0.02,0.0002
0.41,147.2155,0.068375,0.02,0.0003,0.41,159.6133,0.0683,0.026,0.0002,0.41,135.3105,0.06833125,0.017,0.0002,0.41,159.9868,0.068375,0.028,0.0003,0.41,135.6125,0.0682875,0.017,0.0002,0.41,165.4863,0.0683375,0.023,0.0002,0.41,160.6464,0.06831875,0.023,0.0002,0.41,167.1473,0.06828125,0.025,0.0001,0.41,159.0331,0.06830624,0.02,0.0001,0.41,162.7445,0.06829375,0.021,0.0002
0.42,150.5534,0.07005,0.021,0.0003,0.42,163.1419,0.06999375,0.027,0.0002,0.42,138.394,0.07001875,0.017,0.0002,0.42,163.4757,0.07006875,0.029,0.0003,0.42,138.6086,0.069925,0.017,0.0002,0.42,169.1262,0.07004375,0.024,0.0002,0.42,164.0876,0.07000625,0.024,0.0002,0.42,170.7713,0.069925,0.025,0.0001,0.42,162.5856,0.07,0.021,0.0001,0.42,166.2811,0.06995,0.022,0.0002
0.43,153.7641,0.0716625,0.021,0.0003,0.43,166.6546,0.07170625,0.028,0.0002,0.43,141.4458,0.07170625,0.018,0.0002,0.43,166.9963,0.0717375,0.03,0.0003,0.43,141.5332,0.07161875,0.017,0.0002,0.43,172.6389,0.07171874,0.024,0.0002,0.43,167.5685,0.0717,0.025,0.0002,0.43,174.3793,0.0716125,0.026,0.0001,0.43,166.138,0.07170625,0.021,0.0001,0.43,169.7938,0.0716375,0.022,0.0002
0.44,156.9192,0.0733125,0.022,0.0003,0.44,170.0878,0.07338125,0.029,0.0002,0.44,144.434,0.07338125,0.018,0.0002,0.44,170.5647,0.07335625,0.031,0.0003,0.44,144.2989,0.073325,0.018,0.0002,0.44,176.1039,0.07334375,0.025,0.0002,0.44,171.113,0.073375,0.025,0.0002,0.44,177.8841,0.073325,0.027,0.0001,0.44,169.5951,0.07338125,0.022,0.0001,0.44,173.2588,0.07333125,0.023,0.0002
0.45,160.0822,0.07500625,0.023,0.0003,0.45,173.4257,0.075,0.029,0.0002,0.45,147.3824,0.07500625,0.019,0.0002,0.45,174.1648,0.075,0.031,0.0003,0.45,146.9771,0.07500625,0.018,0.0002,0.45,179.5928,0.07499374,0.026,0.0002,0.45,174.729,0.075,0.026,0.0002,0.45,181.3412,0.075,0.027,0.0001,0.45,172.9727,0.075,0.022,0.0001,0.45,176.6523,0.07500625,0.023,0.0002
0.46,163.2611,0.07669999,0.023,0.0003,0.46,176.7159,0.07665,0.03,0.0002,0.46,150.3468,0.0766625,0.019,0.0002,0.46,177.7172,0.0766875,0.032,0.0003,0.46,149.7348,0.07661875,0.018,0.0002,0.46,183.1929,0.076675,0.026,0.0002,0.46,178.345,0.07665,0.027,0.0002,0.46,184.7982,0.07661875,0.028,0.0001,0.46,176.3582,0.07665624,0.023,0.0001,0.46,180.0378,0.076625,0.024,0.0002
0.47,166.3923,0.078375,0.023,0.0003,0.47,180.0775,0.0783375,0.031,0.0002,0.47,153.3667,0.07835,0.02,0.0002,0.47,181.1981,0.0784,0.033,0.0003,0.47,152.6594,0.07826875,0.019,0.0002,0.47,186.8566,0.078375,0.027,0.0002,0.47,181.9054,0.0783375,0.027,0.0002,0.47,188.3427,0.07826875,0.028,0.0001,0.47,179.7597,0.0783375,0.023,0.0002,0.47,183.4552,0.0782625,0.024,0.0002
0.48,169.5236,0.07999375,0.024,0.0003,0.48,183.5903,0.08003125,0.031,0.0003,0.48,156.3708,0.08004375,0.02,0.0003,0.48,184.6234,0.080075,0.033,0.0003,0.48,155.7271,0.07995625,0.019,0.0002,0.48,190.4567,0.08005,0.027,0.0002,0.48,185.434,0.08004375,0.028,0.0002,0.48,192.0144,0.07995625,0.029,0.0001,0.48,183.2326,0.0800375,0.024,0.0002,0.48,186.8884,0.07995625,0.025,0.0002
0.49,172.6786,0.08165,0.025,0.0003,0.49,187.1904,0.08170625,0.032,0.0003,0.49,159.359,0.08170625,0.02,0.0003,0.49,188.0566,0.08169375,0.034,0.0003,0.49,158.7311,0.08165,0.02,0.0002,0.49,193.9853,0.081675,0.028,0.0002,0.49,188.9467,0.0817125,0.028,0.0002,0.49,195.7576,0.08165625,0.03,0.0002,0.49,186.7294,0.08170625,0.024,0.0002,0.49,190.3454,0.0816625,0.026,0.0002
0.5,175.8337,0.0833375,0.025,0.0003,0.5,190.7746,0.08333125,0.033,0.0003,0.5,162.2756,0.0833375,0.021,0.0003,0.5,191.5455,0.08334374,0.035,0.0003,0.5,161.5763,0.083325,0.02,0.0002,0.5,197.5298,0.083325,0.029,0.0002,0.5,192.4912,0.08333125,0.029,0.0002,0.5,199.4451,0.083325,0.03,0.0002,0.5,190.2103,0.08333125,0.025,0.0002,0.5,193.7946,0.08334374,0.026,0.0002
0.51,178.9411,0.08503125,0.026,0.0003,0.51,194.3111,0.0849875,0.033,0.0003,0.51,165.1843,0.08499375,0.021,0.0003,0.51,195.0979,0.08503125,0.036,0.0003,0.51,164.3101,0.08494375,0.02,0.0002,0.51,201.1299,0.0850125,0.029,0.0002,0.51,196.1072,0.08498125,0.029,0.0002,0.51,203.0293,0.08495,0.031,0.0002,0.51,193.6277,0.0849875,0.025,0.0002,0.51,197.1642,0.08496249,0.027,0.0002
0.52,182.0246,0.08669375,0.026,0.0003,0.52,197.7444,0.08666874,0.034,0.0003,0.52,168.101,0.08668125,0.022,0.0003,0.52,198.6504,0.08673125,0.036,0.0003,0.52,167.0678,0.0866,0.021,0.0003,0.52,204.7141,0.08671875,0.03,0.0002,0.52,199.7471,0.086675,0.03,0.0002,0.52,206.5659,0.0866,0.031,0.0002,0.52,196.9496,0.08666874,0.026,0.0002,0.52,200.4862,0.08661875,0.027,0.0002
0.53,185.14,0.088325,0.027,0.0004,0.53,201.0902,0.08836875,0.035,0.0003,0.53,171.0018,0.08837499,0.022,0.0003,0.53,202.1631,0.08840625,0.037,0.0003,0.53,169.9289,0.0882875,0.021,0.0003,0.53,208.2348,0.08838125,0.03,0.0002,0.53,203.3154,0.0883625,0.031,0.0002,0.53,210.1104,0.08829375,0.032,0.0002,0.53,200.2478,0.08836875,0.027,0.0002,0.53,203.7923,0.08830625,0.028,0.0002
0.54,188.3348,0.08998125,0.027,0.0004,0.54,204.4837,0.09003125,0.035,0.0003,0.54,173.8469,0.09005625,0.023,0.0003,0.54,205.6519,0.09003125,0.038,0.0003,0.54,172.8773,0.08998749,0.022,0.0003,0.54,211.7554,0.09000625,0.031,0.0002,0.54,206.7725,0.09004375,0.031,0.0002,0.54,213.6946,0.08998749,0.033,0.0002,0.54,203.5856,0.09003125,0.027,0.0002,0.54,207.1142,0.08999375,0.028,0.0002
0.55,191.5852,0.09166875,0.028,0.0004,0.55,207.9884,0.09165625,0.036,0.0003,0.55,176.6682,0.091675,0.023,0.0003,0.55,209.1726,0.09168125,0.038,0.0003,0.55,175.8337,0.09164999,0.022,0.0003,0.55,215.3079,0.0916625,0.031,0.0002,0.55,210.166,0.0916625,0.032,0.0002,0.55,217.2788,0.09164999,0.033,0.0002,0.55,207.003,0.0916625,0.027,0.0002,0.55,210.4441,0.0916625,0.029,0.0002
0.56,194.8277,0.0933625,0.028,0.0004,0.56,211.5885,0.09331875,0.037,0.0003,0.56,179.4974,0.093325,0.023,0.0003,0.56,212.7091,0.0933625,0.039,0.0003,0.56,178.6788,0.093275,0.022,0.0003,0.56,218.8365,0.09335,0.032,0.0002,0.56,213.623,0.09330625,0.033,0.0002,0.56,220.8789,0.093275,0.034,0.0002,0.56,210.4362,0.09331875,0.028,0.0002,0.56,213.8138,0.09328125,0.029,0.0003
0.57,198.0066,0.09504375,0.029,0.0004,0.57,215.1887,0.095,0.037,0.0003,0.57,182.422,0.0950125,0.024,0.0003,0.57,216.2457,0.09506249,0.04,0.0004,0.57,181.4445,0.09493124,0.023,0.0003,0.57,222.2776,0.09505,0.033,0.0002,0.57,217.1516,0.09499375,0.033,0.0002,0.57,224.5426,0.0949375,0.034,0.0002,0.57,213.7979,0.095,0.028,0.0002,0.57,217.1834,0.09494375,0.03,0.0003
0.58,201.1776,0.0966625,0.029,0.0004,0.58,218.7093,0.0967,0.038,0.0003,0.58,185.3625,0.09672499,0.024,0.0003,0.58,219.7822,0.09673125,0.041,0.0004,0.58,184.2419,0.096625,0.023,0.0003,0.58,225.695,0.09672499,0.033,0.0002,0.58,220.712,0.09670625,0.034,0.0002,0.58,228.246,0.096625,0.035,0.0002,0.58,217.0245,0.0967,0.029,0.0002,0.58,220.4975,0.09663125,0.03,0.0003
